# NPC Ronaldine — Profile, Role and Services (Part 2)

Sections in this file: Ronaldine's Looping Tasks

== Ronaldine's Looping Tasks ==
=== Aelio Relentless Training ===
The following tasks become available when the player has unlocked Neusen Plant in the Stia region.
Ronaldine's Looping Tasks (Aelio)
Task Name | Objectives | Rewards | Description
Relentless Training Across Halpha 3-VIII | Defeat Zams Gunblades (Lv.60 or greater) (0/30) Defeat Rinshans (Lv.60 or greater) (0/30) Defeat Proctys Retems (Lv.60 or greater) (0/30) | First Clear: C/Vardi Soul IV x10 Second Clear: Notable Kvaris Persimmon x10 Notable Kvaris Squid x10 Notable Kvaris Meat x10 Blizzardium x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [56] ] Recommended Sector: Lost Central (Rank 3 or higher)
Relentless Training Across Halpha 3-IX | Defeat FORMERS boss enemy Megalotix (Lv.60 or greater) (0/10) | First Clear: Special Scratch Ticket x10 Second Clear: N-EX-Cube x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience.
Relentless Training Across Halpha 3-X | Defeat Relyns (Lv.60 or greater) (0/3) Defeat Frostyl Swords (Lv.60 or greater) (0/3) Defeat Ams Kvarises (Lv.60 or greater) (0/3) | First Clear: 100 Star Gems Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [57] ] Recommended Sector: Lost Central (Rank 3 or higher)

=== Relentless Training in Kvaris ===
The following tasks become available when the player has completed the Kvaris Independent Partisan Squad quest and has enough Battle Power to unlock the Rank 2 Kvaris Combat Sectors.
Ronaldine's Looping Tasks (Kvaris)
Task Name | Objectives | Rewards | Description
Relentless Training in Kvaris 1-I | Defeat ALTERS (Lv.51 or Greater) (0/300) | First Clear: N-EX-Cube x2 Second Clear: C/Kvar Note A x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTER in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [58] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 1-II | Defeat Blizza Rongos (Lv.51 or Greater) (0/30) Defeat Freezisnegs (Lv.51 or Greater) (0/30) | First Clear: Strugment A x10 Second Clear: C/Kvar Note B x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [59] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 1-III | Defeat FORMERS boss enemies (Lv.51 or Greater) (0/10) | First Clear: Strugment B x10 Second Clear: C/Kvar Note C x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [60] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 1-IV | Defeat a Snoruq (Lv.51 or Greater) (0/1) Defeat a Konigssee Yedi (Lv.51 or Greater) (0/1) Defeat a Malachride (Lv.51 or Greater) (0/1) | First Clear: Strugment C x10 Second Clear: C/Kvar Note D x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [61] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 1-V | Defeat a Veteran Malachroid (0/1) Defeat a Veteran Crocodylis (0/1) | First Clear: C/Crocys Soul II x10 Second Clear: Rich Kvaris Snail x5 Light Kvaris Octopus x5 Crisp Kvaris Squid x5 Robust Kvaris Crayfish x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [62] ] Recommended Sector: North Kvaris
Relentless Training in Kvaris 1-VI | Defeat DOLLS (Lv.51 or Greater) (0/300) | First Clear: C/Frostyl Soul II x10 Second Clear: Rich Kvaris Persimmon x5 Light Kvaris Plum x5 Crisp Kvaris Guava x5 Robust Kvaris Akebia x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [63] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 1-VII | Defeat Freeztts (Lv.51 or Greater) (0/30) Defeat Snow Roroxes (Lv.51 or Greater) (0/20) | First Clear: C/Ams Soul II x10 Second Clear: C/Might III x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [64] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 1-VIII | Defeat DOLLS boss enemies (Lv.51 or Greater) (0/10) | First Clear: Silver Primm Armor +20 x1 Second Clear: C/Precision III x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [65] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 1-IX | Defeat a Frostyl Sword (Lv.51 or Greater) (0/1) Defeat a Pangolan (Lv.51 or Greater) (0/1) Defeat an Ams Kvaris (Lv.51 or Greater) (0/1) | First Clear: B-Trigger/Kvar Yellow x5 Second Clear: C/Technique III x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [66] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 1-X | Defeat a Veteran Ice Banser (0/1) Defeat a Veteran Relyn (0/1) | First Clear: SG 50 Ticket x1 Second Clear: B-Trigger/Kvar Yellow x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [67] ] Recommended Sector: Central Kvaris
Relentless Training in Kvaris 2-I | Defeat FORMERS rare enemies (Lv.51 or Greater) (0/30) | First Clear: Pentalite x30 Second Clear: Strugment A x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [68] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 2-II | Defeat Freezi Hedges (Lv.51 or Greater) at night (0/30) Defeat Freezihogs (Lv.51 or Greater) at night (0/30) | First Clear: Monotite x40 Dualomite x40 Trinite x40 Second Clear: Strugment B x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS at night in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [69] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 2-III | Defeat FORMERS boss rare enemies (Lv.51 or Greater) (0/3) | First Clear: Photon Chunk x40 Photon Quartz x40 Tetracite x40 Second Clear: Strugment C x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [70] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 2-IV | Defeat a Malachride (Lv.51 or Greater) at night (0/1) | First Clear: Silver Primm Sword +20 x1 Second Clear: Decold Standard I x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing a boss enemy at night in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [71] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 2-V | Defeat a Veteran Konigssee Yedi (0/1) Defeat a Veteran Snoruq (0/1) Defeat a Veteran Ice Banshee (0/1) Defeat a Veteran Pangolan (0/1) | First Clear: C/Dread Keeper III x10 Second Clear: Rich Kvaris Meat x5 Light Kvaris Meat x5 Crisp Kvaris Meat x5 Robust Kvaris Meat x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [72] ] Recommended Sector: South Kvaris
Relentless Training in Kvaris 2-VI | Defeat DOLLS rare enemies (Lv.51 or Greater) (0/30) | First Clear: N-EX-Cube x3 Second Clear: Pentalite x30 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [73] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 2-VII | Destroy Rinshan parts (Lv.51 or Greater) (0/20) Destroy Proctys Retem parts (Lv.51 or Greater) (0/20) | First Clear: C/Dust Soul III x10 Second Clear: C/Ams Soul III x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying parts on DOLLS in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [74] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 2-VIII | Defeat DOLLS boss Megalotix (Lv.51 or Greater) (0/3) | First Clear: C/Ragras Soul III x10 Second Clear: C/Frostyl Soul III x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [75] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 2-IX | Destroy Snoruq parts (Lv.51 or Greater) (0/10) | First Clear: C/Renus Soul III x10 Second Clear: C/Crocys Soul III x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying parts on boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [76] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 2-X | Defeat a Veteran Pangolan (0/1) Defeat a Veteran Frostyl Sword (0/1) Defeat a Veteran Malachride (0/1) Defeat a Veteran Zo Marmoth (0/1) | First Clear: SG 50 Ticket x1 Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [77] ] Recommended Sector: West Kvaris
Relentless Training in Kvaris 3-I | Defeat ALTERS Enhanced Enemies (Lv.51 or Greater) (0/10) | First Clear: C/Kvar Note A x5 C/Kvar Note B x5 C/Kvar Note C x5 C/Kvar Note D x5 Second Clear: C/Eradi Soul III x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [78] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 3-II | Defeat Agnis Zalores (Lv.51 or Greater) (0/30) Defeat Marmoth Lores (Lv.51 or Greater) (0/30) Defeat Freezirons (Lv.51 or Greater) (0/30) Defeat Freezicurios (Lv.51 or Greater) (0/30) | First Clear: Icicle Orb x20 Second Clear: C/Megas Fusia x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [79] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 3-III | Defeat boss enemies (Lv.51 or Greater) in Belugana Ruins (0/20) | First Clear: Icicle Cube x3 Second Clear: Gold Primm Sword +20 x1 Gold Primm Armor +20 x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [80] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 3-IV | Defeat Crocodylises (Lv.51 or Greater) (0/5) Defeat Ice Bansers (Lv.51 or Greater) (0/5) Defeat Zo Marmoths (Lv.51 or Greater) (0/5) | First Clear: B-Trigger/Ret Purple x5 Second Clear: Rich Kvaris Carrot x5 Light Kvaris Cabbage x5 Crisp Kvaris Mushroom x5 Robust Kvaris Onion x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [81] ] Recommended Sector: Belugana Ruins (Rank 2 or higher)
Relentless Training in Kvaris 3-V | Defeat Dread Enemies in South Kvaris (0/10) Defeat Dread Enemies in West Kvaris (0/10) | First Clear: N-Enhancement Success Rate +100% x1 Second Clear: Notable Kvaris Persimmon x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [82] ] Recommended Sector: South Kvaris , West Kvaris
Relentless Training in Kvaris 3-VI | Defeat DOLLS Enhanced Enemies (Lv.51 or Greater) (0/10) | First Clear: N-Rare Drop Rate +25% x1 Second Clear: Notable Kvaris Squid x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [83] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 3-VII | Defeat Zams Swords (Lv.51 or Greater) (0/30) Defeat Zams Guns (Lv.51 or Greater) (0/30) Defeat Zams Launchers (Lv.51 or Greater) (0/30) Defeat Zams Gunblades (Lv.51 or Greater) (0/30) | First Clear: N-Augmentation Success Rate +20% x1 Second Clear: Notable Kvaris Meat x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [84] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 3-VIII | Defeat boss enemies (Lv.51 or Greater) in Lost Central (0/20) | First Clear: B-Trigger/Kvar Purple x5 Second Clear: B-Trigger/Kvar Purple x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [85] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 3-IX | Defeat a Relyn (Lv.51 or Greater) (0/5) Defeat a Pangolan (Lv.51 or Greater) (0/5) Defeat Ams Kvaris (Lv.51 or Greater) (0/5) | First Clear: Special Scratch Ticket x10 Second Clear: N-EX-Cube x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [86] ] Recommended Sector: Lost Central (Rank 2 or higher)
Relentless Training in Kvaris 3-X | Defeat Dread Enemies in Central Kvaris (0/10) Defeat Dread Enemies in North Kvaris (0/10) | First Clear: SG 100 Ticket x1 Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Dread Enemies in order to gain some experience. Target region: Kvaris This icon hasn't been defined. It can be defined here: [ [87] ] Recommended Sector: Central Kvaris , North Kvaris

=== Relentless Training in Retem ===
The following tasks become available when the player has completed the Retem's Independent Partisan Squad quest and has enough Battle Power to unlock the Rank 2 Retem Combat Sectors.
Ronaldine's Looping Tasks (Retem)
Task Name | Objectives | Rewards | Description
Relentless Training in Retem 1-I | Defeat FORMERS (Level 40 or Greater) (0/300) | First Clear: N-EX-Cube x2 Second Clear: C/Ret Note A x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [88] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 1-II | Defeat Mumidogs (Level 40 or Greater) (0/50) | First Clear: Strugment A x10 Second Clear: C/Ret Note B x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [89] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 1-III | Defeat Spardun A Lore (Level 40 or Greater) (0/30) Defeat Gilnach Lore (Level 40 or Greater) (0/30) | First Clear: Strugment B x10 Second Clear: C/Ret Note C x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [90] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 1-IV | Defeat ALTERS boss enemies (Level 40 or Greater) (0/10) | First Clear: Strugment C x10 Second Clear: C/Ret Note D x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [91] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 1-V | Defeat a Bubble Snapper (Level 40 or Greater) (0/1) Defeat a Svacurio (Level 40 or Greater) (0/1) Defeat a Dune Bear (Level 40 or Greater) (0/1) | First Clear: C/Renus Soul II x10 Second Clear: Rich Retem Round Eggplant x5 Robust Retem Cauliflower x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [92] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 1-VI | Defeat DOLLS (Level 40 or Greater) (0/300) | First Clear: C/Dust Soul II x10 Second Clear: Robust Retem Strawberry x5 Rich Retem Cherry x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [93] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 1-VII | Defeat Sand Fuwans (Level 40 or Greater) (0/50) | First Clear: C/Ragras Soul II x10 Second Clear: C/Might II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [94] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 1-VIII | Defeat Sand Rorons (Level 40 or Greater) (0/20) Defeat Sand Roroxes (Level 40 or Greater) (0/20) | First Clear: Silver Primm Armor +20 x1 Second Clear: C/Precision II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [95] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 1-IX | Defeat DOLLS boss enemies (Level 40 or Greater) (0/10) | First Clear: B-Trigger/Ret Yellow x5 Second Clear: C/Technique II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [96] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 1-X | Defeat a Lizentos (Level 40 or Greater) (0/1) Defeat a Fortos Laser (Level 40 or Greater) (0/1) Defeat a Dustyl Hammer (Level 40 or Greater) (0/1) | First Clear: SG 50 Ticket x1 Second Clear: B-Trigger/Ret Yellow x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [97] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 2-I | Defeat FORMERS rare enemies (Level 40 or Greater) (0/30) | First Clear: Photon Scale x15 Second Clear: Strugment A x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing rare enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [98] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 2-II | Defeat ALTERS Enhanced Enemies (Level 40 or Greater) (0/10) | First Clear: Monotite x40 Dualomite x40 Trinite x40 Second Clear: Strugment B x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [99] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 2-III | Defeat Glasnegs at night (Level 40 or Greater) (0/30) Defeat Roufinbears at night (Level 40 or Greater) (0/30) | First Clear: Photon Chunk x40 Photon Quartz x40 Tetracite x40 Second Clear: Strugment C x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS at night in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [100] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 2-IV | Defeat Sand Nogleths (Level 40 or Greater) (0/3) Defeat Fortos Launchers (Level 40 or Greater) (0/3) | First Clear: Silver Primm Sword +20 x1 Second Clear: Robust Retem Meat x5 Rich Retem Meat x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [101] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 2-V | Defeat a Svadi Scythe at night (Level 40 or Greater) (0/1) Defeat a Svaulon at night (Level 40 or Greater) (0/1) | First Clear: C/Alts Secreta III x10 Second Clear: Robust Retem Hermit Crab x5 Rich Retem Scallop x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies at night in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [102] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 2-VI | Destroy DOLLS parts (Level 40 or Greater) (0/100) | First Clear: N-EX-Cube x3 Second Clear: Tetracite x30 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying parts on DOLLS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [103] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 2-VII | Defeat DOLLS Enhanced Enemies (Level 40 or Greater) (0/10) | First Clear: C/Daityl Soul II x10 Second Clear: C/Ragras Soul II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Enhanced Enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [104] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 2-VIII | Destroy Brancle parts (Level 40 or Greater) (0/20) Destroy Metius parts (Level 40 or Greater) (0/20) | First Clear: C/Pettas Soul II x10 Second Clear: C/Dust Soul II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying parts on DOLLS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [105] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 2-IX | Defeat Kelkundos (Level 40 or Greater) (0/3) Defeat Renus Retems (Level 40 or Greater) (0/3) | First Clear: C/Nex Soul II x10 Second Clear: C/Renus Soul II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [106] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 2-X | Destroy DOLLS boss parts (Level 40 or Greater) (0/10) | First Clear: SG 50 Ticket x1 Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with destroying parts on boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [107] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 3-I | Defeat Sand Korons (Level 40 or Greater) (0/50) Defeat Crowpas (Level 40 or Greater) (0/30) Defeat Alma Rongos (Level 40 or Greater) (0/30) | First Clear: C/Ret Note A x5 C/Ret Note B x5 C/Ret Note C x5 C/Ret Note D x5 Second Clear: Photon Scale x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [108] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 3-II | Defeat FORMERS Megalotix (Level 40 or Greater) (0/10) | First Clear: C/Megas Fusia x10 Second Clear: C/Megas Fusia x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [109] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 3-III | Defeat Equalizing Enemies (Level 40 or Greater) (0/10) | First Clear: C/Dread Keeper II x10 Second Clear: Gold Primm Sword +20 x1 Gold Primm Armor +20 x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Equalizing Enemies in order to gain some experience. Target region: Retem
Relentless Training in Retem 3-IV | Defeat Fortos Launchers (Level 40 or Greater) (0/5) Defeat Bubble Snappers (Level 40 or Greater) (0/5) Defeat Dune Bears (Level 40 or Greater) (0/5) | First Clear: B-Trigger/Ael Purple x5 Second Clear: Crisp Retem Meat x5 Light Retem Meat x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [110] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 3-V | Defeat ALTERS boss Megalotix (0/3) | First Clear: N-Enhancement Success Rate +100% x1 Second Clear: Crisp Retem Sea Urchin x5 Light Retem Sea Slug x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [111] ] Recommended Sector: Retem Alnothe (Rank 3 or higher)
Relentless Training in Retem 3-VI | Defeat Guardinan Lore (Level 40 or Greater) (0/50) Defeat Sparzile Lore (Level 40 or Greater) (0/30) Defeat Dingale Lore (Level 40 or Greater) (0/30) | First Clear: N-Rare Drop Rate +25% x1 Second Clear: Crisp Retem Carambola x5 Light Retem Mango x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing FORMERS in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [112] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 3-VII | Defeat DOLLS Megalotix (Level 40 or Greater) (0/10) | First Clear: N-Augmentation Success Rate +20% x1 Second Clear: Crisp Retem Mushroom x5 Light Retem Cranberries x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [113] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 3-VIII | Defeat DOLLS Equalizing Enemies (Level 40 or Greater) (0/10) | First Clear: B-Trigger/Ret Purple x10 Second Clear: B-Trigger/Ret Purple x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Equalizing Enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [114] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 3-IX | Defeat Lizentoses (Level 40 or Greater) (0/5) Defeat Dustyl Hammers (Level 40 or Greater) (0/5) Defeat Renus Retems (Level 40 or Greater) (0/5) | First Clear: Special Scratch Ticket x10 Second Clear: N-EX-Cube x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating boss enemies in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [115] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
Relentless Training in Retem 3-X | Defeat DOLLS boss Megalotix (0/3) | First Clear: SG 100 Ticket x1 Second Clear: Special Scratch Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing Megalotix in order to gain some experience. Target region: Retem This icon hasn't been defined. It can be defined here: [ [116] ] Recommended Sector: Maqead Lower Level (Rank 3 or higher)
